timestamp,z
12:54:14.153,-2.45
12:54:14.165,-0.35
12:54:14.173,0.76
12:54:14.185,1.00
12:54:14.198,-1.71
12:54:14.210,-1.24
12:54:14.218,-0.67
12:54:14.231,-1.34
12:54:14.243,0.51
12:54:14.255,1.00
12:54:14.263,-0.12
12:54:14.276,1.00
12:54:14.287,-1.07
12:54:14.300,1.00
12:54:14.308,-0.67
12:54:14.321,1.00
12:54:14.332,-2.97
12:54:14.345,-0.12
12:54:14.353,0.86
12:54:14.366,-0.07
12:54:14.378,-1.37
12:54:14.390,-0.01
12:54:14.398,0.82
12:54:14.411,0.42
12:54:14.423,-0.05
12:54:14.435,-2.30
12:54:14.443,-1.54
12:54:14.455,-0.42
12:54:14.468,-0.03
12:54:14.480,-0.58
12:54:14.488,0.48
12:54:14.501,-0.78
12:54:14.513,-0.05
12:54:14.525,0.50
12:54:14.531,0.57
12:54:14.545,-0.73
12:54:14.558,-0.67
12:54:14.570,-1.18
12:54:14.578,0.55
12:54:14.591,-3.00
12:54:14.603,0.32
12:54:14.615,-2.48
12:54:14.623,0.55
12:54:14.636,-0.22
12:54:14.648,1.00
12:54:14.660,-0.45
12:54:14.669,0.29
12:54:14.681,-0.70
12:54:14.693,0.37
12:54:14.706,-0.42
12:54:14.714,-0.37
12:54:14.725,-0.23
12:54:14.739,-1.44
12:54:14.750,-1.46
12:54:14.759,1.00
12:54:14.771,-0.14
12:54:14.783,1.00
12:54:14.796,-0.84
12:54:14.804,1.00
12:54:14.817,-0.76
12:54:14.828,-0.83
12:54:14.841,1.00
12:54:14.849,0.75
12:54:14.861,1.00
12:54:14.873,0.29
12:54:14.884,0.92
12:54:14.894,-0.24
12:54:14.906,0.55
12:54:14.919,-0.54
12:54:14.931,0.04
12:54:14.939,-1.42
12:54:14.951,0.06
12:54:14.964,-0.63
12:54:14.976,-0.86
12:54:14.984,1.00
12:54:14.996,0.44
12:54:15.008,0.33
12:54:15.021,-0.46
12:54:15.028,-2.00
12:54:15.040,-0.82
12:54:15.052,-2.41
12:54:15.066,1.00
12:54:15.072,-0.22
12:54:15.083,0.33
12:54:15.098,-2.25
12:54:15.112,-0.30
